

国内|央视,#genre#



CCTV1, http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225673/index.m3u8
CCTV1, http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225723/index.m3u8
CCTV1, http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226163/index.m3u8
CCTV1, http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225770/index.m3u8
CCTV1, http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV1, http://gslbserv.itv.cmvideo.cn/5000000004000002226/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=3
CCTV1, http://36.135.118.195:85/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1, http://ygbh.site/php/bfgd.php?id=488
CCTV1, http://112.123.206.32:808/hls/1/index.m3u8
CCTV1, http://60.29.124.66:6080/hls/12/index.m3u8

CCTV2, http://api.kkitv.itv888.cn:8080/hls/4nlkhc68gfu/index.m3u8
CCTV2, http://112.123.206.32:808/hls/2/index.m3u8
CCTV2, http://60.29.124.66:6080/hls/13/index.m3u8
CCTV2, http://39.164.160.249:9901/tsfile/live/0002_1.m3u8


CCTV3, http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226165/index.m3u8
CCTV3, http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225766/index.m3u8
CCTV3, http://60.29.124.66:6080/hls/14/index.m3u8
CCTV3, http://gmxw.7766.org:808/hls/91/index.m3u8
CCTV3, http://183.11.239.36:808/hls/91/index.m3u8

CCTV4, http://api.kkitv.itv888.cn:8080/hls/25uo2rutach/index.m3u8
CCTV4, http://110.177.144.22:9003/hls/4/index.m3u8
CCTV4, http://58.19.180.108:9981/stream/channelid/1411564127?profile=pass
CCTV4, http://sh.lnott.top:880/dx04.m3u8
CCTV4, http://gslbserv.itv.cmvideo.cn/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3
CCTV4, http://60.29.124.66:6080/hls/15/index.m3u8
CCTV4, http://183.11.239.36:808/hls/22/index.m3u8

CCTV5, http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV5, http://api.kkitv.itv888.cn:8080/hls/7vx0ia55les/index.m3u8
CCTV5, http://ygbh.site/php/bfgd.php?id=064
CCTV5, http://gmxw.7766.org:808/hls/93/index.m3u8
CCTV5, http://60.29.124.66:6080/hls/16/index.m3u8
CCTV5, http://183.11.239.36:808/hls/93/index.m3u8


CCTV5+, http://58.19.180.108:9981/stream/channelid/1400754434?profile=pass
CCTV5+, http://1b6467f415.iok.la:9931/tsfile/live/1025_1.m3u8
CCTV5+, http://222.169.85.8:9901/tsfile/live/0116_1.m3u8
CCTV5+, https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8


CCTV6, http://api.kkitv.itv888.cn:8080/hls/tp9ajk4od5/index.m3u8
CCTV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV6, https://httop.top/ysp-cctv6
CCTV6, http://110.177.144.19:9003/hls/7/index.m3u8
CCTV6, http://sh.lnott.top:880/dx06.m3u8
